out_file,src_image,score,note
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000003a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000003a.png,2.476054,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000010a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000010a.png,2.008588,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000015a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000015a.png,1.537111,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000030a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000030a.png,2.151606,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000055a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000055a.png,1.764991,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000056a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000056a.png,2.354361,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000058a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000058a.png,1.720416,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000083a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000083a.png,1.746647,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000101a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000101a.png,2.169015,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000104a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000104a.png,1.746172,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000104a_hn02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000104a.png,1.618981,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000105a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000105a.png,1.641710,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000107a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000107a.png,2.273565,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000108a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000108a.png,1.676094,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000109a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000109a.png,2.102268,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000109a_hn02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000109a.png,1.542311,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000112a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000112a.png,2.316818,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000113a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000113a.png,1.592913,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000118a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000118a.png,1.827418,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000127a_hn01.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000127a.png,2.982932,thr=1.5
C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\baseline_work\prepared\neg_hard\00000127a_hn02.jpg,C:\Users\Lütfullah\OneDrive\Desktop\HOG+SVM_PROJESI\data\INRIA_raw\Train\neg\00000127a.png,1.721586,thr=1.5
